Ceres,4.94917E-07,4.6,2.768,0.0758,Sol
Pallas,1.08015E-07,4.61,2.772,0.231,Sol
Juno,1.0538E-08,4.36,2.67,0.2563,Sol
Vesta,1.36467E-07,3.63,2.362,0.0889,Sol
Lutetia,8.9573E-10,3.8,2.435,0.1646,Sol
Eugenia,3.21409E-09,4.49,2.721,0.0835,Sol
Siwa,7.9035E-10,4.51,2.732,0.2161,Sol
Kleopatra,0,4.67,2.794,0.2504,Sol
Ida,5.269E-11,4.84,2.861,0.0412,Sol
Mathilde,5.44288E-11,4.31,2.647,0.2655,Sol
Eros,3.52496E-12,1.76,1.458,0.2227,Sol
Icarus,5.269E-16,1.12,1.078,0.8269,Sol
Geographos,2.1076E-15,1.39,1.245,0.3354,Sol
Apollo,1.0538E-15,1.81,1.47,0.5599,Sol
Chiron,2.1076E-09,50.7,13.637,0.3827,Sol
Shipka,0,5.25,3.017,0.128,Sol
Rodari,0,3.25,2.194,0.0566,Sol
Steins,0,3.64,2.363,0.1455,Sol
McAuliffe,0,2.57,1.879,0.369,Sol
Mimistrobell,0,3.38,2.25,0.0827,Sol
Toutatis,2.6345E-14,3.98,2.534,0.6294,Sol
Castalia,2.6345E-16,1.1,1.063,0.4831,Sol
Otawara,1.0538E-13,3.19,2.168,0.1441,Sol
AnneFrank,0,3.29,2.213,0.0635,Sol
Braille,0,3.58,2.341,0.4333,Sol
Itokawa,1.84415E-17,1.52,1.324,0.2801,Sol
Bennu,3.84637E-17,1.2,1.126,0.2037,Sol
